record_id,ssid,bssid,rssi
1,Smart-CAU_2.4G,48:00:20:89:ab:11,-66
1,eduroam,48:00:20:89:ab:10,-66
1,eduroam,48:00:20:89:ab:01,-66
1,Smart-CAU,48:00:20:89:ab:00,-66
1,Smart-CAU_2.4G,48:00:20:89:ab:03,-66
1,Smart-CAU_5G,48:00:20:89:ab:02,-66
1,iptime,88:36:6c:d4:1c:28,-73
1,coffeenie_310,58:86:94:ad:57:90,-75
1,eduroam,b4:5d:50:9f:f6:f1,-70
1,Smart-CAU_5G,b4:5d:50:9f:f6:f2,-70
1,Smart-CAU_2.4G,b4:5d:50:9f:f6:f3,-70
1,Smart-CAU,b4:5d:50:9f:f6:f0,-70
1,eduroam,48:00:20:87:77:f1,-61
1,eduroam,48:00:20:89:61:b1,-74
1,Smart-CAU_5G,48:00:20:87:77:f2,-61
1,Smart-CAU,48:00:20:89:61:b0,-74
1,Smart-CAU_2.4G,48:00:20:89:61:b3,-74
1,[LG_CeilingCassette A/C]925b,1e:39:29:f6:92:5b,-86
1,Smart-CAU,48:00:20:87:77:f0,-61
1,Smart-CAU_5G,48:00:20:89:61:b2,-74
1,Smart-CAU_2.4G,f0:5c:19:a9:ea:13,-75
1,Smart-CAU_5G,f0:5c:19:a9:ea:12,-75
1,eduroam,f0:5c:19:a9:ea:11,-75
1,Smart-CAU_2.4G,48:00:20:87:77:f3,-61
1,Smart-CAU,f0:5c:19:a9:ea:10,-75
1,Smart-CAU_2.4G,48:00:20:86:f6:71,-59
1,eduroam,b4:5d:50:9f:f6:e0,-74
1,eduroam,48:00:20:87:3e:01,-78
1,Smart-CAU_5G,48:00:20:87:3e:02,-78
1,Smart-CAU_2.4G,b4:5d:50:9f:f6:e2,-72
1,Smart-CAU,48:00:20:87:3e:00,-78
1,eduroam,48:00:20:86:f6:70,-59
1,Smart-CAU_2.4G,48:00:20:89:61:c1,-78
1,Smart-CAU_2.4G,f0:5c:19:a9:ea:02,-79
1,eduroam,f0:5c:19:a9:ea:00,-79
1,eduroam,f0:5c:19:a9:ed:00,-73
1,Smart-CAU_2.4G,48:00:20:87:3e:03,-78
1,Smart-CAU_2.4G,f0:5c:19:a9:ed:02,-73
1,eduroam,f0:5c:19:a9:b8:51,-89
1,eduroam,48:00:20:86:f6:61,-51
1,Smart-CAU_5G,f0:5c:19:a9:e9:72,-81
1,Smart-CAU,48:00:20:86:f6:60,-51
1,eduroam,f0:5c:19:a9:e9:71,-81
1,Smart-CAU_2.4G,48:00:20:86:f6:63,-51
1,Smart-CAU_5G,48:00:20:86:f6:62,-51
1,Smart-CAU_2.4G,f0:5c:19:a9:e9:73,-81
1,Smart-CAU_2.4G,48:00:20:86:b3:51,-77
1,Smart-CAU,f0:5c:19:a9:e9:70,-81
1,Smart-CAU,f0:5c:19:a9:ef:30,-93
1,Smart-CAU_2.4G,b4:5d:50:a0:78:93,-68
1,eduroam,f0:5c:19:a9:ef:31,-94
1,Smart-CAU,b4:5d:50:a0:78:90,-68
1,Smart-CAU_5G,b4:5d:50:a0:78:92,-68
1,eduroam,f0:5c:19:a9:ed:11,-73
1,Smart-CAU_5G,f0:5c:19:a9:ef:32,-94
1,eduroam,b4:5d:50:a0:78:91,-68
1,Smart-CAU,f0:5c:19:a9:ed:10,-73
1,Smart-CAU_2.4G,f0:5c:19:a9:ed:13,-73
1,Smart-CAU_5G,f0:5c:19:a9:ed:12,-73
1,eduroam,7c:57:3c:de:fd:20,-85
1,eduroam,f0:5c:19:a9:e9:60,-83
1,eduroam,48:00:20:87:78:00,-59
1,Smart-CAU_2.4G,48:00:20:87:78:01,-60
1,KT_GiGA_5G_C90A,60:29:d5:7e:c9:0d,-87
1,Smart-CAU_2.4G,b4:5d:50:a0:78:82,-74
1,KT_GiGA_C90A,60:29:d5:7e:c9:0e,-76
1,eduroam,b4:5d:50:a0:78:80,-74
1,Smart-CAU,f0:5c:19:a9:ef:f0,-84
1,eduroam,f0:5c:19:a9:b8:31,-94
1,Smart-CAU_2.4G,f0:5c:19:a9:ef:f3,-84
1,eduroam,f0:5c:19:a9:ef:f1,-83
1,Smart-CAU_5G,f0:5c:19:a9:ef:f2,-84
1,Smart-CAU_2.4G,f0:5c:19:a9:b8:33,-94
1,Smart-CAU_2.4G,48:00:20:87:3e:11,-83
1,Smart-CAU_2.4G,f0:5c:19:a9:c5:13,-88
1,Smart-CAU,f0:5c:19:a9:c5:10,-88
1,CAUJOB 5GHz,58:86:94:4e:43:2c,-87
